target_ISO3,target_Year,match_ISO3,match_Year,distance,rank
AFG,2025,COD,2025,1.061138158564115,1
AFG,2025,YEM,2025,1.1367575023599017,2
AFG,2025,TCD,2025,1.3381780950941924,3
BFA,2025,NER,2025,1.4571952460672226,1
BFA,2025,ETH,2025,1.6811465057243271,2
BFA,2025,CMR,2025,1.8913432452527574,3
CAF,2025,TCD,2025,1.0257335431167651,1
CAF,2025,AFG,2025,1.486568423811723,2
CAF,2025,SSD,2025,1.5392030655754594,3
CMR,2025,MMR,2025,1.750347960377558,1
CMR,2025,NER,2025,1.8089504133719034,2
CMR,2025,ETH,2025,1.8571404855127764,3
COD,2025,AFG,2025,1.061138158564115,1
COD,2025,YEM,2025,1.2988237007683763,2
COD,2025,TCD,2025,1.4298601733948504,3
COL,2025,UKR,2025,1.1651750241393581,1
COL,2025,PSE,2025,2.1643990870423586,2
COL,2025,LBN,2025,2.6632351738635816,3
ETH,2025,NGA,2025,1.3133622283252742,1
ETH,2025,MOZ,2025,1.5431965208282532,2
ETH,2025,NER,2025,1.6005525063100137,3
GTM,2025,HND,2025,2.409508758063703,1
GTM,2025,SLV,2025,3.1842457241198803,2
GTM,2025,IRQ,2025,3.656702757217956,3
HND,2025,PAK,2025,2.2669323207136243,1
HND,2025,IRQ,2025,2.2970406150617824,2
HND,2025,GTM,2025,2.409508758063703,3
HTI,2025,MOZ,2025,2.431484025109834,1
HTI,2025,NGA,2025,2.7208548075688594,2
HTI,2025,COD,2025,2.7406495091930703,3
IRQ,2025,PAK,2025,2.067974149749365,1
IRQ,2025,HND,2025,2.2970406150617824,2
IRQ,2025,UKR,2025,2.566573488827737,3
JOR,2025,GTM,2025,3.8775882429049724,1
JOR,2025,SLV,2025,4.696375544536119,2
JOR,2025,HND,2025,5.205970120634326,3
LBN,2025,PSE,2025,2.243868127763511,1
LBN,2025,UKR,2025,2.638595669797389,2
LBN,2025,COL,2025,2.6632351738635816,3
MLI,2025,NGA,2025,1.4602250124505538,1
MLI,2025,CMR,2025,1.8608635839612042,2
MLI,2025,ETH,2025,1.8722158100961261,3
MMR,2025,SDN,2025,1.5469181822588491,1
MMR,2025,CMR,2025,1.750347960377558,2
MMR,2025,MLI,2025,2.2318337257553194,3
MOZ,2025,ETH,2025,1.5431965208282532,1
MOZ,2025,NER,2025,1.7194209403554954,2
MOZ,2025,NGA,2025,2.138288839496789,3
NER,2025,BFA,2025,1.4571952460672226,1
NER,2025,ETH,2025,1.6005525063100137,2
NER,2025,MOZ,2025,1.7194209403554954,3
NGA,2025,ETH,2025,1.3133622283252742,1
NGA,2025,MLI,2025,1.4602250124505538,2
NGA,2025,CMR,2025,1.9279456062901794,3
PAK,2025,ETH,2025,1.9708000698089585,1
PAK,2025,MLI,2025,2.017627015186052,2
PAK,2025,IRQ,2025,2.067974149749365,3
PSE,2025,UKR,2025,1.6474175109474822,1
PSE,2025,COL,2025,2.1643990870423586,2
PSE,2025,LBN,2025,2.243868127763511,3
SDN,2025,MMR,2025,1.5469181822588491,1
SDN,2025,AFG,2025,2.0661475509940312,2
SDN,2025,BFA,2025,2.1995329459302413,3
SLV,2025,GTM,2025,3.1842457241198803,1
SLV,2025,HND,2025,4.203655739315146,2
SLV,2025,JOR,2025,4.696375544536119,3
SOM,2025,YEM,2025,1.5863215114397191,1
SOM,2025,COD,2025,1.813194739414629,2
SOM,2025,TCD,2025,1.8271299608426903,3
SSD,2025,CAF,2025,1.5392030655754594,1
SSD,2025,AFG,2025,1.567417107477177,2
SSD,2025,YEM,2025,1.9597341852046142,3
SYR,2025,YEM,2025,1.1878387659104037,1
SYR,2025,COD,2025,1.464646070878365,2
SYR,2025,AFG,2025,1.6484005149107066,3
TCD,2025,CAF,2025,1.0257335431167651,1
TCD,2025,AFG,2025,1.3381780950941924,2
TCD,2025,COD,2025,1.4298601733948504,3
UKR,2025,COL,2025,1.1651750241393581,1
UKR,2025,PSE,2025,1.6474175109474822,2
UKR,2025,IRQ,2025,2.566573488827737,3
VEN,2025,IRQ,2025,4.41832955842418,1
VEN,2025,HND,2025,4.6385005276874915,2
VEN,2025,GTM,2025,4.883095260705227,3
YEM,2025,AFG,2025,1.1367575023599017,1
YEM,2025,SYR,2025,1.1878387659104037,2
YEM,2025,COD,2025,1.2988237007683763,3
